English Sentence,af,nl,fa,fr,lt,no,ro,es,ta,tr,vi,mr
Others speculate that ramps zigzagged up the exterior walls of the pyramid.,Ander spekuleer dat opritte teen die buitemure van die piramide sigsag het.,Anderen vermoeden dat er langs de buitenwanden van de piramide zigzaggende hellingen omhoog liepen.,برخی دیگر حدس می زنند که رمپ ها دیوارهای بیرونی هرم را به صورت زیگزاگی بالا می برند.,D'autres spéculent que des rampes zigzaguaient le long des murs extérieurs de la pyramide.,"Kiti spėja, kad rampos kilo zigzagais virš piramidės išorinių sienų.",Andre spekulerer i at ramper sikksakk opp ytterveggene til pyramiden.,Alții speculează că rampele urcau în zig-zag pe pereții exteriori ai piramidei.,Otros especulan que había rampas en zigzag por las paredes exteriores de la pirámide.,மற்றவர்கள் பிரமிட்டின் வெளிப்புறச் சுவர்களில் வளைவுகள் ஜிக்ஜாக் செய்யப்பட்டதாக ஊகிக்கிறார்கள்.,Diğerleri ise rampaların piramidin dış duvarları boyunca zikzaklar çizerek yükseldiğini ileri sürüyor.,Những người khác suy đoán rằng có những đoạn đường dốc ngoằn ngoèo chạy lên các bức tường bên ngoài của kim tự tháp.,इतरांचा असा अंदाज आहे की रॅम्पने पिरॅमिडच्या बाहेरील भिंती झिगझॅग केल्या आहेत.
Our tower rooms had an incredible but slightly scary view.,Ons toringkamers het 'n ongelooflike maar effens skrikwekkende uitsig gehad.,"Onze torenkamers hadden een prachtig, maar ook een beetje angstaanjagend uitzicht.",اتاق های برج ما منظره ای باورنکردنی اما کمی ترسناک داشتند.,Nos chambres dans la tour avaient une vue incroyable mais un peu effrayante.,"Mūsų bokšto kambariuose atsivėrė neįtikėtinas, bet šiek tiek baisus vaizdas.","Tårnrommene våre hadde en utrolig, men litt skummel utsikt.","Camerele noastre din turn aveau o priveliște incredibilă, dar puțin înfricoșătoare.",Nuestras habitaciones en la torre tenían una vista increíble pero un poco aterradora.,எங்கள் கோபுர அறைகள் நம்பமுடியாத ஆனால் சற்று பயங்கரமான காட்சியைக் கொண்டிருந்தன.,Kule odalarımızın inanılmaz ama biraz da ürkütücü bir manzarası vardı.,Phòng tháp của chúng tôi có tầm nhìn tuyệt đẹp nhưng hơi đáng sợ.,आमच्या टॉवरच्या खोल्यांमध्ये अविश्वसनीय पण किंचित भितीदायक दृश्य होते.
"Over the past four decades, the cost of legal education has gone up relentlessly.",Oor die afgelope vier dekades het die koste van regsopleiding meedoënloos gestyg.,De afgelopen veertig jaar zijn de kosten voor juridische opleidingen gestaag gestegen.,در طول چهار دهه گذشته، هزینه آموزش حقوقی بی وقفه افزایش یافته است.,"Au cours des quatre dernières décennies, le coût de l’éducation juridique a augmenté sans relâche.",Per pastaruosius keturis dešimtmečius teisinio išsilavinimo kaina nenumaldomai išaugo.,I løpet av de siste fire tiårene har kostnadene for juridisk utdanning økt ubønnhørlig.,"În ultimele patru decenii, costul educației juridice a crescut fără încetare.","Durante las últimas cuatro décadas, el costo de la educación jurídica ha aumentado implacablemente.","கடந்த நான்கு தசாப்தங்களாக, சட்டக் கல்விக்கான செலவு இடைவிடாமல் உயர்ந்துள்ளது.",Son kırk yıldır hukuk eğitiminin maliyeti durmadan arttı.,"Trong bốn thập kỷ qua, chi phí giáo dục pháp lý đã tăng lên không ngừng.",गेल्या चार दशकांमध्ये विधी शिक्षणाचा खर्च अव्याहतपणे वाढला आहे.
"Over the past generation, there has been a dramatic expansion of legalized gambling.",Oor die afgelope generasie was daar 'n dramatiese uitbreiding van gewettigde dobbelary.,De afgelopen generatie heeft legaal gokken een enorme vlucht genomen.,در طول نسل گذشته، گسترش چشمگیر قمار قانونی وجود داشته است.,"Au cours de la dernière génération, on a assisté à une expansion spectaculaire des jeux de hasard légalisés.",Per pastarąją kartą įteisintų lošimų skaičius smarkiai išaugo.,I løpet av den siste generasjonen har det vært en dramatisk utvidelse av legalisert gambling.,"În ultima generație, a existat o expansiune dramatică a jocurilor de noroc legalizate.","Durante la última generación, ha habido una expansión dramática del juego legalizado.","கடந்த தலைமுறையில், சட்டப்பூர்வமாக்கப்பட்ட சூதாட்டத்தின் வியத்தகு விரிவாக்கம் உள்ளது.",Geçtiğimiz nesilde yasal kumarın sayısında önemli bir artış yaşandı.,"Trong thế hệ vừa qua, hoạt động cờ bạc hợp pháp đã phát triển mạnh mẽ.","गेल्या पिढीमध्ये, कायदेशीर जुगाराचा नाट्यमय विस्तार झाला आहे."
"Overhead, giant paws set down on the ice as the polar bear pursued its prey.",Oorhoofs het reuse-pote op die ys neergesit terwyl die ysbeer sy prooi agtervolg.,Boven ons landden enorme poten op het ijs terwijl de ijsbeer zijn prooi achtervolgde.,در حالی که خرس قطبی شکار خود را تعقیب می کرد، بالای سر، پنجه های غول پیکر روی یخ نشستند.,"Au-dessus de nos têtes, des pattes géantes se posaient sur la glace tandis que l'ours polaire poursuivait sa proie.","Virš galvų milžiniškos letenos nusileido ant ledo, kai baltasis lokys persekiojo savo grobį.",Over hodet satte gigantiske poter seg ned på isen mens isbjørnen forfulgte byttet sitt.,"Deasupra capului, labele uriașe așezate pe gheață în timp ce ursul polar își urmărea prada.","Arriba, unas patas gigantes se posaban sobre el hielo mientras el oso polar perseguía a su presa.","துருவ கரடி அதன் இரையைத் துரத்தும்போது மேலே, ராட்சத பாதங்கள் பனிக்கட்டியின் மீது அமைந்தன.","Yukarıda, kutup ayısı avını kovalarken dev pençelerini buzun üzerine koydu.","Phía trên, những bàn chân khổng lồ đặt xuống băng khi con gấu Bắc Cực truy đuổi con mồi.","ध्रुवीय अस्वल आपल्या भक्ष्याचा पाठलाग करत असताना ओव्हरहेड, राक्षस पंजे बर्फावर खाली बसले."
"Parrots have brightly-colored feathers and a sharp, curved beak.","Papegaaie het helderkleurige vere en 'n skerp, geboë snawel.","Papegaaien hebben felgekleurde veren en een scherpe, gebogen snavel.",طوطی ها پرهای رنگارنگ و منقاری تیز و خمیده دارند.,Les perroquets ont des plumes aux couleurs vives et un bec pointu et courbé.,"Papūgos turi ryškių spalvų plunksnas ir aštrų, išlenktą snapą.","Papegøyer har fargerike fjær og et skarpt, buet nebb.",Papagalii au pene viu colorate și un cioc ascuțit și curbat.,Los loros tienen plumas de colores brillantes y un pico afilado y curvado.,"கிளிகள் பிரகாசமான நிறமுடைய இறகுகள் மற்றும் கூர்மையான, வளைந்த கொக்கைக் கொண்டிருக்கும்.","Papağanlar parlak renkli tüylere ve keskin, kavisli bir gagaya sahiptir.","Vẹt có bộ lông nhiều màu sắc và chiếc mỏ cong, sắc nhọn.","पोपटांना चमकदार रंगाचे पंख आणि तीक्ष्ण, वक्र चोच असते."
"Participants then assigned each dream to a category, such as a flying dream, a bad dream, or a nightmare.","Deelnemers het dan elke droom aan 'n kategorie toegewys, soos 'n vlieënde droom, 'n slegte droom of 'n nagmerrie.","Vervolgens wezen de deelnemers elke droom toe aan een categorie, bijvoorbeeld een vliegdroom, een nare droom of een nachtmerrie.",سپس شرکت‌کنندگان هر رویا را به یک دسته تقسیم کردند، مانند رویای پرواز، خواب بد یا کابوس.,"Les participants ont ensuite attribué chaque rêve à une catégorie, comme un rêve de vol, un mauvais rêve ou un cauchemar.","Tada dalyviai kiekvieną sapną priskyrė kategorijai, pavyzdžiui, skraidantis sapnas, blogas sapnas arba košmaras.","Deltakerne tildelte deretter hver drøm til en kategori, for eksempel en flygende drøm, en vond drøm eller et mareritt.","Participanții au atribuit apoi fiecare vis unei categorii, cum ar fi un vis de zbor, un vis rău sau un coșmar.","Luego, los participantes asignaron cada sueño a una categoría, como un sueño de vuelo, una mala pesadilla o una pesadilla.","பங்கேற்பாளர்கள் ஒவ்வொரு கனவையும் பறக்கும் கனவு, கெட்ட கனவு அல்லது கனவு போன்ற ஒரு வகைக்கு ஒதுக்கினர்.","Katılımcılar daha sonra her rüyayı uçma rüyası, kötü rüya veya kabus gibi bir kategoriye atadılar.","Sau đó, những người tham gia sẽ phân loại từng giấc mơ vào một danh mục, chẳng hạn như giấc mơ bay, giấc mơ xấu hoặc ác mộng.","नंतर सहभागींनी प्रत्येक स्वप्न एका श्रेणीसाठी नियुक्त केले, जसे की उडणारे स्वप्न, एक वाईट स्वप्न किंवा दुःस्वप्न."
Passengers or cargo enter trains from a platform next to the line.,Passasiers of vrag betree treine vanaf 'n platform langs die lyn.,Passagiers en vracht stappen in de trein via een perron naast het spoor.,مسافران یا محموله ها از سکوی کنار خط وارد قطار می شوند.,Les passagers ou les marchandises entrent dans les trains à partir d'un quai situé à côté de la ligne.,Keleiviai ar kroviniai į traukinius patenka iš šalia linijos esančios platformos.,Passasjerer eller last kommer inn i tog fra en plattform ved siden av linjen.,Pasagerii sau mărfurile intră în trenuri de pe un peron de lângă linie.,Los pasajeros o la carga ingresan a los trenes desde un andén contiguo a la vía.,பயணிகள் அல்லது சரக்குகள் கோட்டிற்கு அடுத்துள்ள நடைமேடையில் இருந்து ரயில்களுக்குள் நுழைகின்றன.,Yolcular veya yükler trenlere hattın yanındaki perondan binerler.,Hành khách hoặc hàng hóa lên tàu từ sân ga bên cạnh đường ray.,प्रवासी किंवा मालवाहू मार्गाच्या पुढील प्लॅटफॉर्मवरून ट्रेनमध्ये प्रवेश करतात.
Patients are faced with the pain of the break and the difficult process of healing.,Pasiënte word gekonfronteer met die pyn van die breek en die moeilike proses van genesing.,Patiënten worden geconfronteerd met de pijn van de breuk en het moeilijke genezingsproces.,بیماران با درد شکستگی و روند دشوار بهبودی مواجه می شوند.,Les patients sont confrontés à la douleur de la rupture et au difficile processus de guérison.,Pacientai susiduria su pertraukos skausmu ir sunkiu gijimo procesu.,Pasienter står overfor smerten ved pausen og den vanskelige helbredelsesprosessen.,Pacienții se confruntă cu durerea rupturii și cu procesul dificil de vindecare.,Los pacientes se enfrentan al dolor de la fractura y al difícil proceso de curación.,நோயாளிகள் இடைவேளையின் வலி மற்றும் குணப்படுத்தும் கடினமான செயல்முறையை எதிர்கொள்கின்றனர்.,Hastalar hem kopmanın acısıyla hem de zorlu iyileşme süreciyle karşı karşıya kalıyorlar.,Bệnh nhân phải đối mặt với cơn đau do gãy xương và quá trình chữa lành khó khăn.,रुग्णांना ब्रेकच्या वेदना आणि बरे होण्याच्या कठीण प्रक्रियेचा सामना करावा लागतो.
"Peaches are sweet and delicate, and must be harvested after ripening.","Perskes is soet en delikaat, en moet geoes word na rypwording.",Perziken zijn zoet en delicaat en moeten na rijping worden geoogst.,هلو شیرین و لطیف است و باید پس از رسیدن برداشت شود.,Les pêches sont sucrées et délicates et doivent être récoltées après maturité.,"Persikai yra saldūs ir subtilūs, todėl juos reikia nuimti po nokinimo.","Fersken er søt og delikat, og må høstes etter modning.",Piersicile sunt dulci și delicate și trebuie recoltate după coacere.,Los melocotones son dulces y delicados y deben cosecharse después de madurar.,"பீச் இனிப்பு மற்றும் மென்மையானது, மற்றும் பழுத்த பிறகு அறுவடை செய்ய வேண்டும்.","Şeftali tatlı ve narin bir meyve olup, olgunlaştıktan sonra hasat edilmesi gerekir.","Quả đào ngọt và mềm, phải được thu hoạch sau khi chín.",पीच गोड आणि नाजूक असतात आणि पिकल्यानंतर कापणी करणे आवश्यक आहे.
"Peaches have a large, red-brown stone inside which contains the seed.","Perskes het 'n groot, rooi-bruin klip binne wat die saad bevat.","Perziken hebben een grote, roodbruine pit die de pit bevat.",هلو دارای یک سنگ بزرگ قرمز قهوه ای است که درون آن دانه وجود دارد.,Les pêches ont un gros noyau rouge-brun à l'intérieur qui contient la graine.,"Persikai turi didelį raudonai rudą akmenį, kurio viduje yra sėklos.","Fersken har en stor, rødbrun stein inni som inneholder frøet.","Piersicile au în interior o piatră mare, roșu-maro, care conține sămânța.","Los melocotones tienen un hueso grande, de color marrón rojizo, en cuyo interior se encuentra la semilla.","பீச் ஒரு பெரிய, சிவப்பு-பழுப்பு கல் உள்ளது, அதில் விதை உள்ளது.","Şeftalinin içinde çekirdeği barındıran büyük, kırmızı-kahverengi bir çekirdek bulunur.",Quả đào có một hạt lớn màu nâu đỏ bên trong chứa hạt.,"पीचमध्ये एक मोठा, लाल-तपकिरी दगड असतो ज्यामध्ये बिया असतात."
"People also use their feet to kick, in both fighting and sports.","Mense gebruik ook hul voete om te skop, in beide veg en sport.","Mensen gebruiken hun voeten ook om te schoppen, zowel in gevechten als bij sport.",مردم هم در مبارزه و هم در ورزش از پاهای خود برای لگد زدن استفاده می کنند.,"Les gens utilisent également leurs pieds pour donner des coups de pied, aussi bien dans les combats que dans les sports.","Žmonės taip pat naudoja kojas spardydami tiek kovodami, tiek sportuodami.","Folk bruker også føttene til å sparke, både i kamp og sport.","Oamenii își folosesc și picioarele pentru a lovi, atât în ​​lupte, cât și în sport.","La gente también usa sus pies para patear, tanto en las peleas como en los deportes.",சண்டை மற்றும் விளையாட்டு இரண்டிலும் மக்கள் தங்கள் கால்களை உதைக்க பயன்படுத்துகின்றனர்.,İnsanlar hem dövüşte hem de sporda tekme atmak için ayaklarını kullanırlar.,"Con người cũng sử dụng chân để đá, trong cả chiến đấu và thể thao.",लोक त्यांच्या पायांचा वापर मारामारी आणि खेळात लाथ मारण्यासाठी करतात.
People can go to public libraries and borrow books to take home for several weeks.,Mense kan vir 'n paar weke na openbare biblioteke gaan en boeke leen om huis toe te neem.,Mensen kunnen naar de openbare bibliotheek gaan en boeken lenen om ze een aantal weken mee naar huis te nemen.,مردم می‌توانند به کتابخانه‌های عمومی بروند و کتاب‌هایی را برای چند هفته به امانت بگیرند.,Les gens peuvent se rendre dans les bibliothèques publiques et emprunter des livres à emporter chez eux pendant plusieurs semaines.,Žmonės gali eiti į viešąsias bibliotekas ir kelioms savaitėms pasiskolinti knygų namo.,Folk kan gå på folkebibliotek og låne bøker med hjem i flere uker.,Oamenii pot merge la biblioteci publice și pot împrumuta cărți pentru a le lua acasă timp de câteva săptămâni.,La gente puede ir a las bibliotecas públicas y tomar prestados libros para llevar a casa durante varias semanas.,மக்கள் பொது நூலகங்களுக்குச் சென்று புத்தகங்களை கடன் வாங்கி பல வாரங்களுக்கு வீட்டிற்கு எடுத்துச் செல்லலாம்.,İnsanlar halk kütüphanelerine gidip ödünç kitap alıp birkaç hafta boyunca evlerine götürebilirler.,Mọi người có thể đến thư viện công cộng và mượn sách mang về nhà trong nhiều tuần.,लोक सार्वजनिक ग्रंथालयात जाऊ शकतात आणि अनेक आठवडे घरी नेण्यासाठी पुस्तके उधार घेऊ शकतात.
People go to hospitals to be healed when they are sick or injured.,Mense gaan na hospitale om genees te word wanneer hulle siek of beseer is.,Mensen gaan naar het ziekenhuis om genezen te worden als ze ziek of gewond zijn.,مردم در مواقعی که مریض یا مجروح می شوند برای بهبودی به بیمارستان ها می روند.,Les gens vont à l’hôpital pour être soignés lorsqu’ils sont malades ou blessés.,Susirgę ar sužeisti žmonės eina į ligonines gydytis.,Folk går til sykehus for å bli helbredet når de er syke eller skadet.,Oamenii merg la spitale pentru a fi vindecați atunci când sunt bolnavi sau răniți.,La gente va a los hospitales para curarse cuando está enferma o herida.,மக்கள் நோய்வாய்ப்பட்டாலோ அல்லது காயப்பட்டாலோ குணமடைய மருத்துவமனைகளுக்குச் செல்கிறார்கள்.,İnsanlar hastalandıklarında veya yaralandıklarında iyileşmek için hastanelere giderler.,Mọi người đến bệnh viện để được chữa bệnh khi bị bệnh hoặc bị thương.,लोक आजारी किंवा जखमी झाल्यावर बरे होण्यासाठी रुग्णालयात जातात.
"People often put carpets on a floor, for comfort and to dampen noise.","Mense sit dikwels matte op 'n vloer, vir gemak en om geraas te demp.","Vaak leggen mensen tapijt op de vloer, voor het comfort en om geluid te dempen.",مردم اغلب برای راحتی و کاهش صدا فرش ها را روی یک طبقه می گذارند.,"Les gens mettent souvent des tapis sur le sol, pour plus de confort et pour atténuer le bruit.","Žmonės dažnai deda kilimus ant grindų, kad būtų patogu ir slopintų triukšmą.","Folk legger ofte tepper på gulvet, for komfort og for å dempe støy.","Oamenii pun adesea covoare pe podea, pentru confort și pentru a amortiza zgomotul.",La gente a menudo coloca alfombras en el suelo para mayor comodidad y para amortiguar el ruido.,"மக்கள் வசதிக்காகவும், சத்தத்தைக் குறைக்கவும் தரையில் தரைவிரிப்புகளை வைப்பார்கள்.",İnsanlar genellikle konfor ve gürültüyü azaltmak için zemine halı sererler.,Mọi người thường trải thảm trên sàn nhà vì sự thoải mái và giảm tiếng ồn.,आरामासाठी आणि आवाज कमी करण्यासाठी लोक बऱ्याचदा जमिनीवर कार्पेट घालतात.
"People set cutlery, plates and food on a table to eat a meal together.","Mense sit eetgerei, borde en kos op 'n tafel om saam 'n maaltyd te eet.","Mensen zetten bestek, borden en eten op tafel om samen te eten.",مردم کارد و چنگال، بشقاب و غذا را روی میز می گذارند تا با هم غذا بخورند.,"Les gens posent des couverts, des assiettes et de la nourriture sur une table pour manger un repas ensemble.","Žmonės ant stalo padeda stalo įrankius, lėkštes ir maistą, kad kartu pavalgytų.","Folk setter bestikk, tallerkener og mat på et bord for å spise et måltid sammen.","Oamenii pun tacâmuri, farfurii și mâncare pe o masă pentru a mânca împreună.","La gente coloca cubiertos, platos y comida en una mesa para comer juntos.","மக்கள் ஒன்றாக உணவு உண்பதற்காக ஒரு மேஜையில் கட்லரிகள், தட்டுகள் மற்றும் உணவுகளை அமைத்தனர்.","İnsanlar çatal bıçak, tabak ve yiyecekleri bir araya getirip hep birlikte yemek yerler.","Mọi người đặt dao kéo, đĩa và thức ăn lên bàn để cùng nhau dùng bữa.","एकत्र जेवण करण्यासाठी लोक टेबलवर कटलरी, प्लेट्स आणि अन्न ठेवतात."
"People use bicycles for transportation, recreation and racing.","Mense gebruik fietse vir vervoer, ontspanning en wedrenne.","Mensen gebruiken fietsen voor vervoer, recreatie en racen.",مردم از دوچرخه برای حمل و نقل، تفریح ​​و مسابقه استفاده می کنند.,"Les gens utilisent le vélo pour le transport, les loisirs et les courses.","Žmonės dviračius naudoja transportui, poilsiui ir lenktynėms.","Folk bruker sykler til transport, rekreasjon og racing.","Oamenii folosesc bicicletele pentru transport, recreere și curse.","La gente usa la bicicleta como medio de transporte, para recreación y para carreras.","மக்கள் போக்குவரத்து, பொழுதுபோக்கு மற்றும் பந்தயத்திற்காக சைக்கிள்களைப் பயன்படுத்துகின்றனர்.","İnsanlar bisikleti ulaşım, eğlence ve yarış amaçlı kullanırlar.","Mọi người sử dụng xe đạp để di chuyển, giải trí và đua xe.","लोक वाहतूक, मनोरंजन आणि रेसिंगसाठी सायकली वापरतात."
"People use their feet when walking, running or standing straight.","Mense gebruik hul voete wanneer hulle loop, hardloop of regop staan.","Mensen gebruiken hun voeten tijdens het lopen, rennen of rechtop staan.",افراد هنگام راه رفتن، دویدن یا صاف ایستادن از پاهای خود استفاده می کنند.,"Les gens utilisent leurs pieds pour marcher, courir ou se tenir droit.","Žmonės naudojasi kojomis eidami, bėgiodami ar stovėdami tiesiai.","Folk bruker føttene når de går, løper eller står rett.","Oamenii își folosesc picioarele atunci când merg, aleargă sau stau drept.","La gente usa los pies cuando camina, corre o permanece de pie.","நடக்கும்போது, ​​ஓடும்போது அல்லது நேராக நிற்கும்போது மக்கள் தங்கள் கால்களைப் பயன்படுத்துகிறார்கள்.","İnsanlar yürürken, koşarken veya dik dururken ayaklarını kullanırlar.","Mọi người sử dụng bàn chân khi đi bộ, chạy hoặc đứng thẳng.","चालताना, धावताना किंवा सरळ उभे राहताना लोक पाय वापरतात."
Performances are typically given in an opera house and accompanied by an orchestra.,Opvoerings word tipies in 'n operahuis aangebied en deur 'n orkes begelei.,De uitvoeringen vinden doorgaans plaats in een operagebouw en worden begeleid door een orkest.,اجراها معمولاً در سالن اپرا و همراهی یک ارکستر اجرا می شوند.,Les représentations sont généralement données dans un opéra et accompagnées par un orchestre.,Spektakliai paprastai vyksta operos teatre ir jiems akompanuoja orkestras.,Forestillinger blir vanligvis gitt i et operahus og akkompagnert av et orkester.,Spectacolele sunt de obicei date într-o operă și sunt acompaniate de o orchestră.,Las representaciones suelen realizarse en un teatro de ópera y están acompañadas por una orquesta.,நிகழ்ச்சிகள் பொதுவாக ஒரு ஓபரா ஹவுஸில் வழங்கப்படுகின்றன மற்றும் ஒரு ஆர்கெஸ்ட்ராவுடன் இருக்கும்.,Gösteriler genellikle bir opera binasında ve bir orkestra eşliğinde gerçekleştirilir.,Các buổi biểu diễn thường được tổ chức tại nhà hát opera và có sự đệm đàn của dàn nhạc.,परफॉर्मन्स सामान्यत: ऑपेरा हाऊसमध्ये दिले जातात आणि ऑर्केस्ट्रा सोबत असतात.
Pharmacists are increasingly involved in preventive care.,Aptekers is toenemend betrokke by voorkomende sorg.,Apothekers worden steeds vaker betrokken bij preventieve zorg.,داروسازان به طور فزاینده ای درگیر مراقبت های پیشگیرانه هستند.,Les pharmaciens sont de plus en plus impliqués dans les soins préventifs.,Vaistininkai vis dažniau įsitraukia į profilaktinę priežiūrą.,Farmasøyter er i økende grad involvert i forebyggende behandling.,Farmaciştii sunt din ce în ce mai implicaţi în îngrijirea preventivă.,Los farmacéuticos participan cada vez más en la atención preventiva.,மருந்தாளுனர்கள் தடுப்பு சிகிச்சையில் அதிகளவில் ஈடுபட்டுள்ளனர்.,Eczacılar koruyucu bakımda giderek daha fazla yer alıyorlar.,Dược sĩ ngày càng tham gia nhiều hơn vào công tác chăm sóc phòng ngừa.,फार्मासिस्ट वाढत्या प्रतिबंधात्मक काळजीमध्ये गुंतले आहेत.
Pharmacists are often a good source of information about public health.,Aptekers is dikwels 'n goeie bron van inligting oor openbare gesondheid.,Apothekers zijn vaak een goede bron van informatie over de volksgezondheid.,داروسازان اغلب منبع خوبی برای اطلاعات در مورد بهداشت عمومی هستند.,Les pharmaciens sont souvent une bonne source d’information sur la santé publique.,Vaistininkai dažnai yra geras informacijos apie visuomenės sveikatą šaltinis.,Farmasøyter er ofte en god kilde til informasjon om folkehelse.,Farmaciştii sunt adesea o bună sursă de informaţii despre sănătatea publică.,Los farmacéuticos suelen ser una buena fuente de información sobre salud pública.,மருந்தாளுனர்கள் பொது சுகாதாரம் பற்றிய தகவல்களுக்கு நல்ல ஆதாரமாக உள்ளனர்.,Eczacılar çoğu zaman halk sağlığı konusunda iyi bir bilgi kaynağıdır.,Dược sĩ thường là nguồn thông tin tốt về sức khỏe cộng đồng.,फार्मासिस्ट हे सार्वजनिक आरोग्याविषयी माहितीचा चांगला स्रोत असतात.
Pharmacists dispense prescription drugs to patients and offer advice about the safe use of medications.,Aptekers deel voorskrifmedisyne aan pasiënte uit en gee raad oor die veilige gebruik van medikasie.,Apothekers verstrekken voorgeschreven medicijnen aan patiënten en geven advies over het veilig gebruik van medicijnen.,داروسازان داروهای تجویزی را در اختیار بیماران قرار می دهند و توصیه هایی در مورد استفاده ایمن از داروها ارائه می دهند.,Les pharmaciens délivrent des médicaments sur ordonnance aux patients et offrent des conseils sur l’utilisation sécuritaire des médicaments.,"Vaistininkai išduoda pacientams receptinius vaistus ir pataria, kaip saugiai vartoti vaistus.",Farmasøyter deler ut reseptbelagte legemidler til pasienter og gir råd om sikker bruk av medisiner.,Farmaciştii eliberează pacienţilor medicamente pe bază de reţetă şi oferă sfaturi despre utilizarea în siguranţă a medicamentelor.,Los farmacéuticos dispensan medicamentos recetados a los pacientes y ofrecen asesoramiento sobre el uso seguro de los medicamentos.,மருந்தாளுநர்கள் நோயாளிகளுக்கு பரிந்துரைக்கப்பட்ட மருந்துகளை வழங்குகிறார்கள் மற்றும் மருந்துகளின் பாதுகாப்பான பயன்பாடு பற்றிய ஆலோசனைகளை வழங்குகிறார்கள்.,Eczacılar hastalara reçeteli ilaçları dağıtır ve ilaçların güvenli kullanımı hakkında tavsiyelerde bulunurlar.,Dược sĩ cấp thuốc theo toa cho bệnh nhân và tư vấn về cách sử dụng thuốc an toàn.,फार्मासिस्ट रुग्णांना प्रिस्क्रिप्शन औषधे देतात आणि औषधांच्या सुरक्षित वापराबद्दल सल्ला देतात.
Pharmacists must have professional degrees and pass two exams in order to be licensed.,Aptekers moet professionele grade hê en twee eksamens slaag om gelisensieer te word.,Apothekers moeten over een beroepsdiploma beschikken en twee examens afleggen om een ​​vergunning te krijgen.,داروسازان برای دریافت مجوز باید دارای مدارک حرفه ای و دو آزمون باشند.,Les pharmaciens doivent posséder un diplôme professionnel et réussir deux examens pour obtenir une licence.,"Vaistininkai turi turėti profesinį laipsnį ir išlaikyti du egzaminus, kad gautų licenciją.",Farmasøyter må ha profesjonelle grader og bestå to eksamener for å få lisens.,Farmaciştii trebuie să aibă diplome profesionale şi să promoveze două examene pentru a fi autorizaţi.,Los farmacéuticos deben tener títulos profesionales y aprobar dos exámenes para obtener la licencia.,மருந்தாளுநர்கள் உரிமம் பெற தொழில்முறை பட்டங்கள் மற்றும் இரண்டு தேர்வுகளில் தேர்ச்சி பெற்றிருக்க வேண்டும்.,Eczacıların lisans alabilmeleri için mesleki derecelere sahip olmaları ve iki sınavı geçmeleri gerekmektedir.,Dược sĩ phải có bằng cấp chuyên môn và vượt qua hai kỳ thi để được cấp phép.,परवाना मिळविण्यासाठी फार्मासिस्टकडे व्यावसायिक पदवी असणे आवश्यक आहे आणि दोन परीक्षा उत्तीर्ण होणे आवश्यक आहे.
"Physics, chemistry and biology are classic examples of sciences.","Fisika, chemie en biologie is klassieke voorbeelde van wetenskappe.","Klassieke voorbeelden van wetenschappen zijn natuurkunde, scheikunde en biologie.",فیزیک، شیمی و زیست شناسی نمونه های کلاسیک علوم هستند.,"La physique, la chimie et la biologie sont des exemples classiques de sciences.","Fizika, chemija ir biologija yra klasikiniai mokslų pavyzdžiai.","Fysikk, kjemi og biologi er klassiske eksempler på vitenskaper.","Fizica, chimia și biologia sunt exemple clasice de științe.","La física, la química y la biología son ejemplos clásicos de ciencias.","இயற்பியல், வேதியியல் மற்றும் உயிரியல் ஆகியவை அறிவியலின் உன்னதமான எடுத்துக்காட்டுகள்.","Fizik, kimya ve biyoloji klasik bilim örnekleridir.","Vật lý, hóa học và sinh học là những ví dụ điển hình của khoa học.","भौतिकशास्त्र, रसायनशास्त्र आणि जीवशास्त्र ही विज्ञानाची उत्कृष्ट उदाहरणे आहेत."
"Piranhas are small, ferocious fish that live in South American rivers.","Piranhas is klein, woeste visse wat in Suid-Amerikaanse riviere woon.","Piranha's zijn kleine, gevaarlijke vissen die in rivieren in Zuid-Amerika leven.",پیراناها ماهی های کوچک و وحشی هستند که در رودخانه های آمریکای جنوبی زندگی می کنند.,Les piranhas sont de petits poissons féroces qui vivent dans les rivières d'Amérique du Sud.,"Piranijos yra mažos, žiaurios žuvys, gyvenančios Pietų Amerikos upėse.","Piranhaer er små, grusomme fisker som lever i søramerikanske elver.",Piranha sunt pești mici și feroce care trăiesc în râurile din America de Sud.,Las pirañas son peces pequeños y feroces que viven en los ríos sudamericanos.,"பிரன்ஹாக்கள் தென் அமெரிக்க நதிகளில் வாழும் சிறிய, மூர்க்கமான மீன்கள்.","Piranalar Güney Amerika nehirlerinde yaşayan küçük, vahşi balıklardır.","Cá piranha là loài cá nhỏ, hung dữ sống ở các con sông ở Nam Mỹ.","पिरान्हा हे लहान, क्रूर मासे आहेत जे दक्षिण अमेरिकन नद्यांमध्ये राहतात."
